year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2021,"2",Bronx,"009302","2009302",Hunts Point,BX0201,BX02,"36005009302",,,3
2021,"2",Bronx,"008900","2008900",Hunts Point,BX0201,BX02,"36005008900",,,2
2021,"2",Bronx,"011900","2011900",Longwood,BX0202,BX02,"36005011900",,,2
2021,"2",Bronx,"015900","2015900",Longwood,BX0202,BX02,"36005015900",,,2
2021,"2",Bronx,"011502","2011502",Hunts Point,BX0201,BX02,"36005011502",,,3
2021,"2",Bronx,"012300","2012300",Crotona Park East,BX0303,BX03,"36005012300",,,3
2021,"2",Bronx,"013100","2013100",Longwood,BX0202,BX02,"36005013100",,,1
2018,"2",Bronx,"020900","2020900",Mount Eden-Claremont (West),BX0403,BX04,"36005020900",,,3
2018,"2",Bronx,"021302","2021302",Mount Eden-Claremont (West),BX0403,BX04,"36005021302",,,4
2018,"2",Bronx,"022300","2022300",Mount Eden-Claremont (West),BX0403,BX04,"36005022300",,,5
2018,"2",Bronx,"022500","2022500",Mount Eden-Claremont (West),BX0403,BX04,"36005022500",,,5
2018,"2",Bronx,"022702","2022702",Mount Eden-Claremont (West),BX0403,BX04,"36005022702",,,4
2018,"2",Bronx,"022703","2022703",Mount Eden-Claremont (West),BX0403,BX04,"36005022703",,,4
2018,"2",Bronx,"022902","2022902",Mount Eden-Claremont (West),BX0403,BX04,"36005022902",,,4
2018,"2",Bronx,"014701","2014701",Claremont Village-Claremont (East),BX0302,BX03,"36005014701",,,5
2018,"2",Bronx,"022701","2022701",Mount Hope,BX0502,BX05,"36005022701",,,5
2018,"2",Bronx,"022901","2022901",Mount Hope,BX0502,BX05,"36005022901",,,4
2018,"2",Bronx,"021502","2021502",University Heights (South)-Morris Heights,BX0501,BX05,"36005021502",,,5
2018,"2",Bronx,"021700","2021700",University Heights (South)-Morris Heights,BX0501,BX05,"36005021700",,,5
