CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"279","3",Brooklyn,"027900","3027900",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027900"
"280","3",Brooklyn,"028000","3028000",E,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028000"
"281","3",Brooklyn,"028100","3028100",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028100"
"282","3",Brooklyn,"028200","3028200",E,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028200"
"284","3",Brooklyn,"028400","3028400",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028400"
"285.01","3",Brooklyn,"028501","3028501",I,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028501"
"286","3",Brooklyn,"028600","3028600",E,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028600"
"287","3",Brooklyn,"028700","3028700",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028700"
"288","3",Brooklyn,"028800","3028800",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028800"
"290","3",Brooklyn,"029000","3029000",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029000"
"291","3",Brooklyn,"029100","3029100",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029100"
"293","3",Brooklyn,"029300","3029300",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029300"
"295","3",Brooklyn,"029500","3029500",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029500"
"296","3",Brooklyn,"029600","3029600",E,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029600"
"298","3",Brooklyn,"029800","3029800",E,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029800"
"299","3",Brooklyn,"029900","3029900",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029900"
"300","3",Brooklyn,"030000","3030000",E,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030000"
"302","3",Brooklyn,"030200","3030200",E,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030200"
"303","3",Brooklyn,"030300","3030300",E,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047030300"
"304","3",Brooklyn,"030400","3030400",E,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030400"
"306","3",Brooklyn,"030600","3030600",E,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047030600"
"307","3",Brooklyn,"030700","3030700",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030700"
"308","3",Brooklyn,"030800","3030800",E,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047030800"
"309","3",Brooklyn,"030900","3030900",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030900"
"311","3",Brooklyn,"031100","3031100",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031100"
"313","3",Brooklyn,"031300","3031300",I,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031300"
"314.01","3",Brooklyn,"031401","3031401",I,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047031401"
"314.02","3",Brooklyn,"031402","3031402",I,Calvert Vaux Park,BK1391,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047031402"
"315","3",Brooklyn,"031500","3031500",E,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031500"
"317.01","3",Brooklyn,"031701","3031701",I,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031701"
"319","3",Brooklyn,"031900","3031900",E,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047031900"
"321","3",Brooklyn,"032100","3032100",E,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032100"
